Category,precision,recall,f1-score,support
Unknown-2229,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,320.00 ± 277.49
Unknown-2230,13.33 ± 18.26,14.67 ± 20.22,13.94 ± 19.12,260.00 ± 167.33
Unknown-2231,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 70.71
Unknown-2232,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,20.00 ± 44.72
Unknown-2234,16.90 ± 16.68,36.67 ± 38.01,21.44 ± 20.33,800.00 ± 1230.85
Unknown-2236,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,325.00 ± 403.11
Unknown-2237,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,240.00 ± 288.10
Unknown-2238,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 81.65
Unknown-2239,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-2240,31.44 ± 32.01,66.67 ± 47.14,37.50 ± 34.36,150.00 ± 100.00
Unknown-2242,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,700.00 ± 291.55
Unknown-2243,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,175.00 ± 95.74
Unknown-2244,1.25 ± 2.80,4.44 ± 9.94,1.95 ± 4.36,340.00 ± 391.15
Unknown-2245,0.00,0.00,0.00,100.00
Unknown-2246,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,50.00 ± 57.74
Unknown-2248,5.00 ± 11.18,10.00 ± 22.36,6.67 ± 14.91,220.00 ± 164.32
Unknown-2249,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-2250,8.33 ± 14.43,16.67 ± 28.87,11.11 ± 19.25,200.00 ± 100.00
Unknown-2251,10.00 ± 22.36,4.00 ± 8.94,5.71 ± 12.78,300.00 ± 346.41
Unknown-2253,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,333.33 ± 404.15
Unknown-2254,33.30 ± 11.31,36.57 ± 20.18,31.99 ± 6.33,1050.00 ± 1121.01
Unknown-2256,25.00 ± 28.87,33.33 ± 47.14,26.67 ± 32.66,300.00 ± 163.30
Unknown-2257,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 100.00
Unknown-2258,39.50 ± 19.72,42.47 ± 22.94,40.22 ± 21.24,1940.00 ± 726.64
Unknown-2259,23.33 ± 22.36,32.50 ± 42.94,23.64 ± 25.19,400.00 ± 273.86
