Category,precision,recall,f1-score,support
Unknown-256,44.83 ± 10.68,38.76 ± 9.89,39.94 ± 6.28,640.00 ± 378.15
Unknown-257,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,540.00 ± 439.32
Unknown-258,19.35 ± 12.58,20.42 ± 11.70,19.47 ± 11.45,3680.00 ± 1595.93
Unknown-259,32.83 ± 21.44,41.67 ± 27.64,36.57 ± 24.00,560.00 ± 219.09
Unknown-260,27.81 ± 35.32,31.64 ± 39.04,28.79 ± 36.32,580.00 ± 544.98
Unknown-261,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 173.21
Unknown-262,24.65 ± 24.48,27.61 ± 28.47,25.73 ± 25.60,3260.00 ± 2020.64
Unknown-263,52.97 ± 47.21,56.26 ± 49.88,54.56 ± 48.51,3333.33 ± 3027.10
Unknown-264,28.92 ± 14.75,29.38 ± 12.89,27.95 ± 11.71,2660.00 ± 1273.97
Unknown-265,29.55 ± 23.95,22.18 ± 16.97,25.26 ± 19.86,2400.00 ± 1133.58
Unknown-266,37.58 ± 35.02,31.32 ± 28.80,34.13 ± 31.55,8960.00 ± 882.04
Unknown-267,47.34 ± 27.23,33.26 ± 19.71,39.04 ± 22.83,16760.00 ± 2020.64
Unknown-268,18.17 ± 15.77,19.83 ± 15.97,18.42 ± 15.21,680.00 ± 465.83
Unknown-269,6.90 ± 10.21,8.14 ± 12.32,7.46 ± 11.16,2600.00 ± 644.20
Unknown-270,4.00 ± 8.94,10.00 ± 22.36,5.71 ± 12.78,220.00 ± 130.38
Unknown-271,55.59 ± 7.41,54.40 ± 5.65,54.90 ± 6.17,7120.00 ± 1314.15
Unknown-272,15.88 ± 10.39,18.43 ± 7.87,16.88 ± 9.21,3660.00 ± 1016.37
Unknown-273,49.47 ± 7.68,45.59 ± 11.03,47.32 ± 9.39,4440.00 ± 1439.79
Unknown-274,33.41 ± 8.93,31.77 ± 6.33,32.52 ± 7.43,8400.00 ± 2767.67
Unknown-276,4.62 ± 10.32,7.06 ± 15.78,5.58 ± 12.48,540.00 ± 669.33
