Category,precision,recall,f1-score,support
Unknown-992,43.01 ± 11.13,45.85 ± 9.97,43.69 ± 8.02,1800.00 ± 612.37
Unknown-993,53.82 ± 14.64,53.21 ± 15.33,52.86 ± 12.89,3480.00 ± 967.99
Unknown-995,38.89 ± 44.91,36.11 ± 27.78,35.28 ± 35.00,375.00 ± 377.49
Unknown-996,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,266.67 ± 152.75
Unknown-997,42.22 ± 7.71,50.01 ± 6.82,45.68 ± 7.10,2180.00 ± 843.80
Unknown-1002,32.35 ± 26.67,43.67 ± 32.15,36.41 ± 28.01,980.00 ± 363.32
Unknown-1003,6.67 ± 14.91,20.00 ± 44.72,10.00 ± 22.36,360.00 ± 378.15
Unknown-1004,22.18 ± 18.60,22.50 ± 18.87,21.56 ± 17.01,900.00 ± 848.53
Unknown-1006,17.50 ± 24.37,16.00 ± 21.91,16.63 ± 22.86,720.00 ± 736.21
Unknown-1007,45.00 ± 44.72,30.33 ± 31.89,36.00 ± 37.00,260.00 ± 207.36
Unknown-1008,20.82 ± 13.19,20.26 ± 14.36,20.44 ± 13.74,2140.00 ± 773.30
Unknown-1009,31.04 ± 20.35,32.99 ± 22.95,31.45 ± 20.48,940.00 ± 550.45
Unknown-1010,32.91 ± 7.63,43.22 ± 6.13,36.84 ± 5.34,900.00 ± 254.95
Unknown-1011,29.07 ± 8.00,28.45 ± 5.62,28.55 ± 6.24,4720.00 ± 268.33
Unknown-1012,31.79 ± 24.10,37.50 ± 24.65,33.81 ± 24.38,460.00 ± 313.05
Unknown-1013,29.68 ± 17.62,27.87 ± 16.32,28.56 ± 16.54,1500.00 ± 1142.37
Unknown-1015,2.50 ± 5.59,2.50 ± 5.59,2.50 ± 5.59,500.00 ± 282.84
Unknown-1017,6.67 ± 9.13,12.38 ± 17.04,8.65 ± 11.86,480.00 ± 319.37
Unknown-1018,20.18 ± 13.49,19.23 ± 4.29,17.73 ± 6.15,1420.00 ± 614.00
Unknown-1019,44.95 ± 14.99,44.89 ± 8.66,44.70 ± 11.93,6740.00 ± 2371.29
Unknown-1020,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,250.00 ± 129.10
Unknown-1021,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,475.00 ± 427.20
Unknown-1022,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,340.00 ± 181.66
Unknown-1023,1.82 ± 4.07,1.18 ± 2.63,1.43 ± 3.19,780.00 ± 614.00
Unknown-1024,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,180.00 ± 83.67
Unknown-1025,38.50 ± 16.40,31.76 ± 15.20,34.42 ± 15.76,820.00 ± 178.89
Unknown-1026,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1180.00 ± 506.95
Unknown-1027,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 100.00
Unknown-1028,13.33 ± 18.26,17.50 ± 24.37,15.06 ± 20.69,500.00 ± 200.00
Unknown-1029,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,240.00 ± 230.22
Unknown-1030,10.00 ± 22.36,10.00 ± 22.36,10.00 ± 22.36,620.00 ± 460.43
Unknown-1031,3.25 ± 5.78,5.15 ± 7.55,3.85 ± 6.42,800.00 ± 430.12
Unknown-1032,33.53 ± 9.70,25.58 ± 5.17,28.18 ± 3.51,740.00 ± 328.63
Unknown-1033,19.96 ± 13.74,16.25 ± 9.41,17.61 ± 10.72,1100.00 ± 738.24
Unknown-1034,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,450.00 ± 238.05
Unknown-1035,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,140.00 ± 54.77
Unknown-1036,5.11 ± 8.66,7.62 ± 14.52,6.03 ± 10.84,800.00 ± 943.40
Unknown-1037,6.79 ± 9.81,8.33 ± 14.43,7.22 ± 11.40,940.00 ± 167.33
Unknown-1039,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,220.00 ± 164.32
Unknown-1040,30.00 ± 18.26,48.33 ± 38.37,33.56 ± 19.73,240.00 ± 181.66
Unknown-1042,2.86 ± 6.39,10.00 ± 22.36,4.44 ± 9.94,220.00 ± 130.38
Unknown-1044,10.00 ± 22.36,20.00 ± 44.72,13.33 ± 29.81,240.00 ± 151.66
Unknown-1045,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,275.00 ± 485.63
Unknown-1046,15.36 ± 16.25,10.53 ± 10.98,11.29 ± 10.87,1040.00 ± 391.15
Unknown-1047,4.00 ± 8.94,2.86 ± 6.39,3.33 ± 7.45,540.00 ± 151.66
Unknown-1048,28.33 ± 29.81,25.71 ± 27.68,25.14 ± 25.10,320.00 ± 228.04
Unknown-1049,30.62 ± 17.95,29.32 ± 18.39,29.73 ± 17.81,1980.00 ± 1485.60
Unknown-1050,1.43 ± 3.19,1.43 ± 3.19,1.43 ± 3.19,500.00 ± 514.78
Unknown-1052,25.43 ± 12.21,46.67 ± 31.51,29.61 ± 10.88,360.00 ± 181.66
Unknown-1053,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 57.74
Unknown-1054,15.00 ± 14.91,19.00 ± 20.74,15.16 ± 14.02,260.00 ± 194.94
Unknown-1055,15.00 ± 20.54,9.75 ± 11.69,11.73 ± 14.86,740.00 ± 743.64
Unknown-1056,25.46 ± 23.50,39.62 ± 36.98,30.74 ± 28.24,980.00 ± 1040.19
Unknown-1057,8.33 ± 16.67,3.57 ± 7.14,5.00 ± 10.00,225.00 ± 330.40
Unknown-1058,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,160.00 ± 134.16
Unknown-1059,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,320.00 ± 277.49
Unknown-1060,16.19 ± 10.57,16.44 ± 11.95,15.75 ± 10.54,940.00 ± 439.32
Unknown-1061,23.05 ± 10.01,21.22 ± 8.61,21.76 ± 9.10,1460.00 ± 313.05
Unknown-1062,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 191.49
Unknown-1064,23.75 ± 14.18,24.19 ± 14.23,23.78 ± 13.89,1980.00 ± 849.71
Unknown-1066,22.50 ± 26.30,20.83 ± 25.00,21.11 ± 24.44,250.00 ± 173.21
Unknown-1068,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,180.00 ± 204.94
Unknown-1069,39.70 ± 17.46,37.66 ± 18.54,37.93 ± 16.31,1220.00 ± 580.52
Unknown-1070,10.00 ± 22.36,5.00 ± 11.18,6.67 ± 14.91,160.00 ± 151.66
Unknown-1072,4.44 ± 9.94,3.33 ± 7.45,3.81 ± 8.52,760.00 ± 403.73
Unknown-1073,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,280.00 ± 178.89
Unknown-1074,26.57 ± 20.04,22.58 ± 16.55,23.69 ± 17.23,1260.00 ± 350.71
