Category,precision,recall,f1-score,support
Unknown-180,31.28 ± 17.08,25.28 ± 14.11,27.68 ± 15.40,1040.00 ± 427.78
Unknown-181,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,166.67 ± 57.74
Unknown-182,17.77 ± 19.25,16.88 ± 11.88,16.26 ± 13.92,1200.00 ± 430.12
Unknown-183,4.33 ± 6.75,6.00 ± 8.94,5.02 ± 7.68,820.00 ± 349.28
Unknown-184,58.52 ± 8.71,58.16 ± 9.28,58.33 ± 9.00,18840.00 ± 6890.79
Unknown-186,10.43 ± 13.69,16.00 ± 15.88,11.75 ± 13.18,820.00 ± 676.02
Unknown-187,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,760.00 ± 364.69
Unknown-188,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 122.47
Unknown-189,35.75 ± 36.91,49.00 ± 36.77,38.92 ± 35.27,440.00 ± 207.36
Unknown-190,15.63 ± 14.95,13.08 ± 12.18,14.08 ± 13.07,1320.00 ± 843.80
Unknown-191,24.74 ± 3.28,31.24 ± 6.83,27.28 ± 3.68,3560.00 ± 684.11
Unknown-193,21.46 ± 9.51,22.57 ± 12.31,21.59 ± 10.61,3100.00 ± 1469.69
Unknown-194,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,120.00 ± 130.38
Unknown-195,51.56 ± 10.67,57.99 ± 14.27,54.22 ± 11.67,5200.00 ± 2045.73
Unknown-196,2.22 ± 4.97,2.00 ± 4.47,2.11 ± 4.71,380.00 ± 363.32
Unknown-197,32.28 ± 5.60,48.43 ± 3.52,38.42 ± 4.16,2740.00 ± 1633.40
Unknown-198,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,266.67 ± 378.59
Unknown-199,27.11 ± 19.20,28.76 ± 19.10,27.44 ± 18.71,1900.00 ± 830.66
Unknown-200,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 100.00
Unknown-201,15.88 ± 15.75,14.52 ± 17.05,14.42 ± 14.83,800.00 ± 380.79
Unknown-202,3.40 ± 5.01,5.15 ± 7.55,4.10 ± 6.02,580.00 ± 311.45
Unknown-203,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,550.00 ± 387.30
Unknown-204,42.30 ± 28.78,49.01 ± 23.90,44.70 ± 25.97,680.00 ± 192.35
Unknown-205,25.00 ± 28.87,37.50 ± 47.87,29.17 ± 34.36,100.00 ± 81.65
Unknown-206,21.58 ± 20.07,23.99 ± 21.95,22.67 ± 20.87,2620.00 ± 2777.05
Unknown-207,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,420.00 ± 277.49
Unknown-208,18.79 ± 12.70,19.73 ± 14.96,18.79 ± 13.69,1080.00 ± 465.83
Unknown-209,6.18 ± 10.83,4.29 ± 6.39,4.93 ± 7.92,900.00 ± 458.26
Unknown-210,23.77 ± 16.57,33.95 ± 25.86,27.88 ± 20.09,640.00 ± 336.15
Unknown-211,24.37 ± 5.85,25.11 ± 8.37,24.64 ± 6.95,5340.00 ± 1558.20
Unknown-212,23.12 ± 12.04,21.97 ± 16.72,22.19 ± 14.02,4560.00 ± 1215.73
Unknown-213,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 182.57
Unknown-214,6.67 ± 14.91,6.67 ± 14.91,6.67 ± 14.91,200.00 ± 100.00
Unknown-215,27.10 ± 11.49,46.17 ± 22.28,33.25 ± 13.54,620.00 ± 216.79
Unknown-216,1.18 ± 2.63,1.05 ± 2.35,1.11 ± 2.48,960.00 ± 669.33
Unknown-217,45.12 ± 7.96,43.27 ± 10.93,44.06 ± 9.42,14360.00 ± 4581.27
Unknown-218,44.41 ± 17.12,53.86 ± 15.96,47.58 ± 14.75,1500.00 ± 758.29
Unknown-219,39.01 ± 23.76,39.39 ± 22.86,38.97 ± 22.91,3800.00 ± 1272.79
Unknown-220,19.99 ± 14.85,22.09 ± 12.93,20.54 ± 13.79,2300.00 ± 860.23
Unknown-221,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,520.00 ± 521.54
Unknown-222,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,166.67 ± 57.74
Unknown-224,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,375.00 ± 618.47
Unknown-225,33.24 ± 4.19,38.68 ± 13.19,35.13 ± 6.52,2460.00 ± 820.37
