Category,precision,recall,f1-score,support
Unknown-100,23.59 ± 8.23,22.78 ± 8.60,23.16 ± 8.39,3380.00 ± 622.09
Unknown-101,16.63 ± 13.10,20.95 ± 14.01,18.09 ± 12.77,1480.00 ± 798.12
Unknown-102,37.06 ± 2.95,37.90 ± 8.22,37.26 ± 4.98,4240.00 ± 2056.21
Unknown-103,43.14 ± 24.50,41.93 ± 22.28,42.09 ± 23.25,1720.00 ± 683.37
Unknown-104,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,540.00 ± 114.02
Unknown-105,16.73 ± 3.15,18.54 ± 5.80,17.52 ± 4.33,5360.00 ± 1006.48
Unknown-106,32.62 ± 16.93,22.44 ± 11.74,21.37 ± 8.75,1460.00 ± 568.33
Unknown-107,13.50 ± 8.24,15.18 ± 9.53,13.75 ± 7.91,1380.00 ± 396.23
Unknown-108,27.32 ± 18.78,24.91 ± 17.82,26.02 ± 18.25,2160.00 ± 1628.80
Unknown-109,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1660.00 ± 304.96
Unknown-110,21.78 ± 7.16,23.71 ± 10.28,22.61 ± 8.51,5320.00 ± 1382.75
Unknown-111,48.99 ± 8.02,50.52 ± 9.39,49.70 ± 8.54,7440.00 ± 1818.79
Unknown-112,51.87 ± 7.76,49.62 ± 9.98,50.57 ± 8.58,3700.00 ± 1772.00
Unknown-113,22.00 ± 43.82,7.86 ± 11.41,7.86 ± 11.41,360.00 ± 230.22
Unknown-114,21.33 ± 14.88,26.57 ± 20.04,23.41 ± 16.76,580.00 ± 294.96
Unknown-115,15.59 ± 6.32,15.46 ± 7.62,15.29 ± 6.43,1840.00 ± 654.22
Unknown-116,6.67 ± 14.91,10.00 ± 22.36,8.00 ± 17.89,160.00 ± 114.02
Unknown-117,53.49 ± 2.38,55.89 ± 5.21,54.53 ± 2.80,31160.00 ± 4368.98
Unknown-118,7.14 ± 14.29,10.00 ± 20.00,8.33 ± 16.67,325.00 ± 263.00
Unknown-119,31.53 ± 6.79,36.95 ± 8.25,34.02 ± 7.44,9600.00 ± 1776.23
Unknown-120,73.69 ± 2.57,45.54 ± 1.35,56.28 ± 1.68,70240.00 ± 1190.80
Unknown-121,18.92 ± 13.77,24.17 ± 18.01,20.73 ± 15.26,1000.00 ± 463.68
Unknown-122,26.31 ± 32.99,30.29 ± 33.60,27.30 ± 31.65,400.00 ± 264.58
Unknown-123,53.30 ± 6.26,52.50 ± 3.70,52.80 ± 4.50,9160.00 ± 2294.12
Unknown-124,44.91 ± 14.40,48.82 ± 18.12,45.69 ± 14.34,3100.00 ± 1869.49
