Category,precision,recall,f1-score,support
Unknown-280,14.26 ± 22.30,15.97 ± 19.64,14.72 ± 21.04,1120.00 ± 356.37
Unknown-281,8.16 ± 11.64,12.50 ± 17.68,9.44 ± 12.97,620.00 ± 414.73
Unknown-282,4.00 ± 8.94,3.33 ± 7.45,3.64 ± 8.13,640.00 ± 427.78
Unknown-283,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,66.67 ± 115.47
Unknown-284,38.86 ± 16.51,41.81 ± 18.78,39.85 ± 17.21,2140.00 ± 776.53
Unknown-285,6.35 ± 9.17,5.93 ± 8.13,6.00 ± 8.30,600.00 ± 424.26
Unknown-286,8.36 ± 7.68,11.15 ± 12.19,8.97 ± 8.75,800.00 ± 519.62
Unknown-287,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,66.67 ± 57.74
Unknown-288,19.83 ± 14.24,28.83 ± 16.37,22.97 ± 14.88,400.00 ± 264.58
Unknown-289,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,125.00 ± 50.00
Unknown-290,10.00 ± 22.36,20.00 ± 44.72,13.33 ± 29.81,260.00 ± 207.36
Unknown-291,15.43 ± 24.88,14.00 ± 21.91,14.67 ± 23.29,340.00 ± 304.96
Unknown-292,14.00 ± 21.91,13.33 ± 18.26,13.00 ± 18.57,420.00 ± 164.32
Unknown-294,6.67 ± 9.13,14.00 ± 21.91,8.64 ± 12.07,360.00 ± 207.36
Unknown-296,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,600.00 ± 500.00
Unknown-297,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,640.00 ± 669.33
Unknown-298,13.33 ± 18.26,30.00 ± 44.72,18.00 ± 24.90,120.00 ± 130.38
Unknown-299,20.50 ± 7.68,19.12 ± 7.28,19.50 ± 7.11,1340.00 ± 260.77
Unknown-300,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,300.00 ± 0.00
Unknown-301,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,250.00 ± 129.10
Unknown-303,14.91 ± 3.52,21.74 ± 8.83,17.24 ± 3.86,1180.00 ± 370.14
Unknown-304,1.92 ± 3.85,5.00 ± 10.00,2.78 ± 5.56,325.00 ± 170.78
Unknown-305,26.07 ± 19.55,32.29 ± 19.63,26.38 ± 16.18,600.00 ± 494.97
Unknown-306,0.95 ± 2.13,1.43 ± 3.19,1.14 ± 2.56,900.00 ± 469.04
Unknown-308,21.12 ± 10.39,23.43 ± 10.70,22.19 ± 10.52,1320.00 ± 540.37
Unknown-309,34.00 ± 23.02,22.86 ± 19.24,23.16 ± 14.61,520.00 ± 192.35
