Category,precision,recall,f1-score,support
Unknown-247,11.67 ± 14.62,12.00 ± 14.45,11.14 ± 12.86,640.00 ± 572.71
Unknown-248,19.05 ± 7.51,14.90 ± 7.70,16.55 ± 7.54,1920.00 ± 742.97
Unknown-249,28.48 ± 21.82,35.00 ± 25.28,29.94 ± 20.52,440.00 ± 270.19
Unknown-250,22.93 ± 16.37,29.29 ± 17.29,24.91 ± 17.01,660.00 ± 415.93
Unknown-251,31.14 ± 29.32,25.90 ± 26.54,28.07 ± 27.46,1020.00 ± 1418.45
Unknown-252,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 81.65
Unknown-253,37.46 ± 7.79,39.43 ± 10.62,38.09 ± 8.29,4640.00 ± 870.63
Unknown-254,12.50 ± 25.00,8.33 ± 16.67,10.00 ± 20.00,375.00 ± 359.40
Unknown-255,28.27 ± 8.04,35.18 ± 11.79,31.12 ± 9.30,3660.00 ± 194.94
Unknown-256,39.83 ± 13.20,38.76 ± 9.89,38.27 ± 8.99,640.00 ± 378.15
Unknown-257,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,540.00 ± 439.32
Unknown-258,24.61 ± 6.49,24.12 ± 4.05,23.81 ± 3.76,3680.00 ± 1595.93
Unknown-259,32.83 ± 21.44,41.67 ± 27.64,36.57 ± 24.00,560.00 ± 219.09
Unknown-260,27.81 ± 35.32,31.64 ± 39.04,28.79 ± 36.32,580.00 ± 544.98
Unknown-261,6.67 ± 11.55,33.33 ± 57.74,11.11 ± 19.25,200.00 ± 173.21
Unknown-262,42.77 ± 11.58,47.66 ± 16.76,44.48 ± 12.55,3260.00 ± 2020.64
Unknown-263,52.97 ± 47.21,56.26 ± 49.88,54.56 ± 48.51,3333.33 ± 3027.10
Unknown-264,29.16 ± 14.35,30.07 ± 12.14,28.38 ± 11.10,2660.00 ± 1273.97
Unknown-265,29.38 ± 24.17,22.18 ± 16.97,25.16 ± 19.97,2400.00 ± 1133.58
Unknown-266,59.91 ± 9.50,47.71 ± 7.49,53.03 ± 8.07,8960.00 ± 882.04
Unknown-267,60.78 ± 7.10,42.32 ± 6.51,49.85 ± 6.76,16760.00 ± 2020.64
Unknown-268,18.48 ± 14.01,21.83 ± 16.61,19.72 ± 14.70,680.00 ± 465.83
Unknown-269,16.60 ± 10.77,20.66 ± 14.54,18.33 ± 12.41,2600.00 ± 644.20
Unknown-270,4.00 ± 8.94,10.00 ± 22.36,5.71 ± 12.78,220.00 ± 130.38
Unknown-271,55.11 ± 7.74,54.40 ± 5.65,54.65 ± 6.30,7120.00 ± 1314.15
Unknown-272,15.88 ± 10.39,18.43 ± 7.87,16.88 ± 9.21,3660.00 ± 1016.37
Unknown-273,49.47 ± 7.68,45.59 ± 11.03,47.32 ± 9.39,4440.00 ± 1439.79
Unknown-274,33.60 ± 9.08,32.16 ± 6.58,32.80 ± 7.64,8400.00 ± 2767.67
Unknown-276,2.50 ± 5.59,20.00 ± 44.72,4.44 ± 9.94,540.00 ± 669.33
Unknown-277,12.49 ± 12.86,20.07 ± 18.66,14.92 ± 14.60,980.00 ± 725.95
Unknown-278,22.61 ± 15.56,27.54 ± 17.26,24.39 ± 16.11,1600.00 ± 1410.67
Unknown-279,7.22 ± 11.04,15.00 ± 22.36,9.74 ± 14.77,360.00 ± 151.66
Unknown-280,14.67 ± 20.22,20.00 ± 27.39,16.89 ± 23.18,300.00 ± 254.95
Unknown-281,12.00 ± 17.89,12.50 ± 21.65,11.97 ± 19.34,660.00 ± 397.49
Unknown-282,24.67 ± 15.16,51.67 ± 45.80,30.27 ± 19.14,360.00 ± 320.94
