Category,precision,recall,f1-score,support
Unknown-4364,0.00,0.00,0.00,200.00
Unknown-4375,0.00,0.00,0.00,100.00
Unknown-4382,0.00,0.00,0.00,100.00
Unknown-4408,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,133.33 ± 57.74
Unknown-4426,0.00,0.00,0.00,200.00
Unknown-4445,0.00,0.00,0.00,100.00
Unknown-4450,0.00,0.00,0.00,100.00
Unknown-4477,0.00,0.00,0.00,100.00
Unknown-4489,0.00,0.00,0.00,100.00
Unknown-4499,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-4504,0.00,0.00,0.00,300.00
Unknown-4510,0.00,0.00,0.00,400.00
Unknown-4550,0.00,0.00,0.00,100.00
Unknown-4587,0.00,0.00,0.00,100.00
Unknown-4589,0.00,0.00,0.00,200.00
Unknown-4594,0.00,0.00,0.00,100.00
Unknown-4596,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,350.00 ± 353.55
Unknown-4618,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-4666,0.00,0.00,0.00,100.00
Unknown-4671,0.00,0.00,0.00,100.00
Unknown-4693,0.00,0.00,0.00,100.00
Unknown-23,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,333.33 ± 152.75
Unknown-24,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,433.33 ± 321.46
Unknown-27,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,800.00 ± 989.95
Unknown-52,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 100.00
Unknown-64,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,800.00 ± 848.53
Unknown-308,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,350.00 ± 70.71
Unknown-320,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,900.00 ± 916.52
Unknown-400,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,266.67 ± 208.17
Unknown-403,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-430,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,166.67 ± 57.74
Unknown-451,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,733.33 ± 503.32
Unknown-470,0.00,0.00,0.00,900.00
Unknown-497,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,350.00 ± 212.13
Unknown-529,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,350.00 ± 70.71
Unknown-633,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 70.71
Unknown-669,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 100.00
Unknown-698,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 70.71
Unknown-714,0.00,0.00,0.00,200.00
Unknown-751,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1350.00 ± 1484.92
Unknown-771,0.00,0.00,0.00,100.00
Unknown-793,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,300.00 ± 173.21
Unknown-794,0.00,0.00,0.00,100.00
Unknown-825,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,133.33 ± 57.74
Unknown-884,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,166.67 ± 57.74
Unknown-897,0.00,0.00,0.00,200.00
Unknown-927,0.00,0.00,0.00,200.00
Unknown-950,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 70.71
Unknown-994,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,550.00 ± 70.71
Unknown-998,0.00,0.00,0.00,100.00
Unknown-1016,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,250.00 ± 212.13
Unknown-1119,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,250.00 ± 70.71
Unknown-1160,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,350.00 ± 70.71
Unknown-1238,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,250.00 ± 212.13
Unknown-1272,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-1290,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-1320,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,250.00 ± 212.13
Unknown-1336,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 173.21
Unknown-1382,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 141.42
Unknown-1388,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 70.71
Unknown-1446,0.00,0.00,0.00,400.00
Unknown-1461,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 0.00
Unknown-1479,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 0.00
Unknown-1509,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-1510,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,533.33 ± 577.35
Unknown-1541,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,550.00 ± 494.97
Unknown-1542,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-1560,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 70.71
Unknown-1576,0.00,0.00,0.00,100.00
Unknown-1615,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,500.00 ± 424.26
Unknown-1624,0.00,0.00,0.00,100.00
Unknown-1664,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-1696,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,133.33 ± 57.74
Unknown-1735,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,133.33 ± 57.74
Unknown-1737,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,933.33 ± 1443.38
Unknown-1739,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,166.67 ± 115.47
Unknown-1769,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,233.33 ± 57.74
Unknown-1793,0.00,0.00,0.00,100.00
Unknown-1823,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,300.00 ± 173.21
Unknown-1847,0.00,0.00,0.00,200.00
Unknown-1866,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,500.00 ± 692.82
Unknown-1870,0.00,0.00,0.00,400.00
Unknown-1888,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 70.71
Unknown-1893,0.00,0.00,0.00,700.00
Unknown-1910,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,300.00 ± 282.84
Unknown-1945,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,900.00 ± 707.11
Unknown-1949,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,300.00 ± 282.84
Unknown-2005,0.00,0.00,0.00,100.00
Unknown-2007,0.00,0.00,0.00,100.00
Unknown-2018,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 70.71
Unknown-2019,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,350.00 ± 212.13
Unknown-2025,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,366.67 ± 288.68
Unknown-2035,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-2038,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 70.71
Unknown-2047,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-2049,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-2051,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-2070,0.00,0.00,0.00,100.00
Unknown-2075,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,250.00 ± 70.71
Unknown-2082,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,350.00 ± 353.55
