Category,precision,recall,f1-score,support
Unknown-154,20.22 ± 19.87,29.40 ± 16.90,22.31 ± 17.80,780.00 ± 402.49
Unknown-155,57.01 ± 4.73,62.24 ± 8.89,59.27 ± 5.58,15820.00 ± 3828.45
Unknown-156,62.74 ± 6.57,67.97 ± 6.76,65.16 ± 6.07,6220.00 ± 1054.51
Unknown-157,41.25 ± 14.59,44.90 ± 19.78,41.96 ± 17.09,1200.00 ± 234.52
Unknown-158,6.45 ± 8.87,7.88 ± 10.88,7.09 ± 9.77,1120.00 ± 846.76
Unknown-159,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,125.00 ± 95.74
Unknown-160,15.00 ± 30.00,8.33 ± 16.67,10.71 ± 21.43,450.00 ± 369.68
Unknown-161,12.17 ± 16.43,16.38 ± 15.70,11.52 ± 11.50,580.00 ± 294.96
Unknown-162,23.32 ± 15.73,26.30 ± 16.35,23.33 ± 14.02,1140.00 ± 512.84
Unknown-163,34.48 ± 10.62,46.30 ± 13.22,39.49 ± 11.79,2680.00 ± 637.97
Unknown-164,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,220.00 ± 44.72
Unknown-165,1.56 ± 3.12,2.27 ± 4.55,1.85 ± 3.70,775.00 ± 991.21
Unknown-166,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 129.10
Unknown-167,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 100.00
Unknown-168,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,440.00 ± 507.94
Unknown-169,22.11 ± 8.58,19.39 ± 6.50,20.01 ± 6.20,2180.00 ± 432.43
Unknown-170,17.62 ± 22.81,9.25 ± 13.85,6.11 ± 5.69,1100.00 ± 1294.22
Unknown-171,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,320.00 ± 258.84
Unknown-172,26.19 ± 35.40,29.52 ± 34.40,26.08 ± 31.87,420.00 ± 370.14
Unknown-173,29.51 ± 6.95,44.27 ± 9.29,35.07 ± 6.36,2800.00 ± 1007.47
Unknown-174,6.48 ± 10.84,7.50 ± 11.18,5.62 ± 7.91,720.00 ± 228.04
Unknown-175,49.45 ± 7.98,49.55 ± 6.76,49.43 ± 7.08,6920.00 ± 2338.16
Unknown-176,17.21 ± 15.84,20.46 ± 22.08,18.17 ± 18.46,1100.00 ± 452.77
Unknown-177,11.71 ± 10.91,19.60 ± 19.92,14.54 ± 14.13,960.00 ± 461.52
Unknown-178,38.45 ± 12.24,41.70 ± 8.08,39.81 ± 10.07,2780.00 ± 712.04
Unknown-179,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,120.00 ± 178.89
Unknown-180,21.26 ± 9.97,25.28 ± 14.11,21.57 ± 9.13,1040.00 ± 427.78
Unknown-181,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,166.67 ± 57.74
Unknown-182,8.13 ± 8.24,13.00 ± 13.96,9.34 ± 9.35,1200.00 ± 430.12
Unknown-183,1.33 ± 2.98,2.00 ± 4.47,1.60 ± 3.58,820.00 ± 349.28
Unknown-184,57.26 ± 9.73,58.39 ± 9.20,57.77 ± 9.33,18840.00 ± 6890.79
Unknown-186,20.48 ± 13.35,35.29 ± 21.74,24.97 ± 15.60,820.00 ± 676.02
Unknown-187,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,760.00 ± 364.69
Unknown-188,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 122.47
