Category,precision,recall,f1-score,support
Unknown-2069,8.33 ± 11.79,15.00 ± 22.36,10.00 ± 13.69,200.00 ± 158.11
Unknown-2071,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,280.00 ± 83.67
Unknown-2072,20.24 ± 19.53,36.44 ± 43.16,23.33 ± 22.85,580.00 ± 311.45
Unknown-2073,50.00 ± 70.71,50.00 ± 70.71,50.00 ± 70.71,100.00 ± 0.00
Unknown-2074,13.33 ± 18.26,21.67 ± 33.12,15.90 ± 22.24,180.00 ± 164.32
Unknown-2076,22.22 ± 43.74,25.00 ± 43.30,23.08 ± 43.51,240.00 ± 114.02
Unknown-2079,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-2082,5.00 ± 11.18,3.33 ± 7.45,4.00 ± 8.94,140.00 ± 260.77
Unknown-2083,33.33 ± 57.74,6.67 ± 11.55,11.11 ± 19.25,333.33 ± 152.75
Unknown-2084,18.33 ± 21.34,19.85 ± 24.42,18.92 ± 22.51,575.00 ± 763.22
Unknown-2085,18.61 ± 17.88,21.71 ± 24.61,19.52 ± 19.78,820.00 ± 614.00
Unknown-2086,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,225.00 ± 95.74
Unknown-2087,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,860.00 ± 673.05
Unknown-2088,20.00 ± 44.72,20.00 ± 44.72,20.00 ± 44.72,160.00 ± 134.16
Unknown-2090,6.67 ± 14.91,3.33 ± 7.45,4.44 ± 9.94,960.00 ± 1040.67
Unknown-2091,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,50.00 ± 70.71
