Category,precision,recall,f1-score,support
Unknown-408,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 81.65
Unknown-409,16.86 ± 20.51,17.33 ± 16.73,16.00 ± 16.73,520.00 ± 294.96
Unknown-411,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,120.00 ± 83.67
Unknown-413,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,133.33 ± 57.74
Unknown-416,4.87 ± 7.39,6.34 ± 8.74,5.40 ± 7.81,960.00 ± 898.89
Unknown-418,9.00 ± 12.45,8.21 ± 12.60,8.41 ± 12.19,760.00 ± 89.44
Unknown-420,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,66.67 ± 57.74
Unknown-421,49.44 ± 15.27,50.42 ± 19.40,49.05 ± 16.27,1800.00 ± 710.63
Unknown-422,25.03 ± 28.25,23.57 ± 23.36,23.98 ± 25.14,1020.00 ± 1388.16
Unknown-423,33.10 ± 20.62,42.80 ± 30.60,36.73 ± 24.69,2420.00 ± 2452.96
Unknown-424,19.21 ± 15.19,27.82 ± 19.93,19.99 ± 13.57,800.00 ± 689.20
Unknown-425,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,425.00 ± 189.30
Unknown-427,0.00,0.00,0.00,100.00
Unknown-428,10.00 ± 22.36,10.00 ± 22.36,10.00 ± 22.36,100.00 ± 100.00
Unknown-429,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,175.00 ± 150.00
Unknown-430,4.00 ± 8.94,20.00 ± 44.72,6.67 ± 14.91,460.00 ± 260.77
Unknown-431,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,75.00 ± 50.00
Unknown-432,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,280.00 ± 130.38
Unknown-433,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,700.00 ± 300.00
Unknown-434,7.47 ± 10.69,9.17 ± 14.55,8.12 ± 12.16,640.00 ± 270.19
Unknown-435,28.30 ± 25.51,24.66 ± 18.46,26.09 ± 21.40,860.00 ± 559.46
Unknown-437,29.52 ± 41.70,30.67 ± 41.26,30.00 ± 41.50,260.00 ± 151.66
Unknown-438,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,125.00 ± 95.74
Unknown-439,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-440,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,175.00 ± 95.74
Unknown-441,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,960.00 ± 433.59
Unknown-442,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,266.67 ± 115.47
Unknown-443,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 264.58
Unknown-444,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,340.00 ± 89.44
Unknown-445,27.76 ± 18.20,35.78 ± 21.78,31.00 ± 19.49,440.00 ± 296.65
Unknown-446,2.22 ± 4.97,3.33 ± 7.45,2.67 ± 5.96,640.00 ± 559.46
Unknown-447,5.00 ± 10.00,4.17 ± 8.33,4.55 ± 9.09,525.00 ± 221.74
Unknown-448,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-449,13.33 ± 18.26,9.00 ± 12.45,10.71 ± 14.73,640.00 ± 328.63
Unknown-450,19.19 ± 14.31,28.71 ± 16.89,22.14 ± 14.56,620.00 ± 356.37
Unknown-454,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,120.00 ± 44.72
Unknown-455,5.00 ± 11.18,6.67 ± 14.91,5.71 ± 12.78,920.00 ± 1670.93
Unknown-456,17.52 ± 19.31,21.83 ± 25.85,18.95 ± 22.11,680.00 ± 516.72
Unknown-457,25.00 ± 25.00,46.67 ± 50.55,29.33 ± 28.91,160.00 ± 89.44
Unknown-458,23.45 ± 8.31,26.10 ± 8.54,24.49 ± 7.89,1340.00 ± 415.93
Unknown-459,8.33 ± 16.67,6.25 ± 12.50,7.14 ± 14.29,250.00 ± 191.49
Unknown-460,19.44 ± 17.35,25.00 ± 25.00,21.67 ± 20.21,266.67 ± 115.47
Unknown-462,2.86 ± 6.39,2.86 ± 6.39,2.86 ± 6.39,480.00 ± 192.35
Unknown-463,0.53 ± 1.18,4.00 ± 8.94,0.93 ± 2.08,340.00 ± 207.36
Unknown-464,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,360.00 ± 219.09
Unknown-465,2.67 ± 5.96,4.00 ± 8.94,3.20 ± 7.16,560.00 ± 512.84
Unknown-466,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,360.00 ± 240.83
Unknown-467,46.67 ± 50.55,41.67 ± 44.88,43.81 ± 47.07,200.00 ± 141.42
Unknown-468,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,400.00 ± 291.55
Unknown-470,34.29 ± 17.26,60.42 ± 26.68,40.17 ± 10.83,775.00 ± 1090.49
Unknown-471,2.50 ± 5.59,6.67 ± 14.91,3.64 ± 8.13,540.00 ± 736.89
Unknown-474,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,225.00 ± 95.74
Unknown-475,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 100.00
Unknown-476,20.00 ± 44.72,10.00 ± 22.36,13.33 ± 29.81,140.00 ± 114.02
Unknown-477,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 81.65
Unknown-478,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,180.00 ± 192.35
Unknown-479,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,160.00 ± 89.44
